Fecha,PM2.5 (ug/m³),tavg,prcp,wdir,wspd,pres,tavg_pres,tavg_wspd,prcp_pres
2022-01-01,16.0,25.1,0.0,288.0,8.7,1005.4,25235.54,218.37,0.0
2022-01-02,8.0,14.1,0.0,358.0,20.7,1024.2,14441.220000000001,291.87,0.0
2022-01-03,6.0,8.1,0.0,80.0,7.6,1030.5,8347.05,61.559999999999995,0.0
2022-01-04,19.0,11.8,0.0,158.0,5.9,1020.9,12046.62,69.62,0.0
2022-01-05,15.0,17.1,0.0,270.0,6.9,1012.7,17317.170000000002,117.99000000000001,0.0
2022-01-06,16.0,18.6,0.0,339.0,6.6,1013.2,18845.520000000004,122.76,0.0
2022-01-07,21.0,13.3,0.4,61.0,10.8,1018.8,13550.04,143.64000000000001,407.52
2022-01-08,38.0,16.3,0.0,200.0,6.9,1015.5,16552.65,112.47000000000001,0.0
2022-01-09,25.0,18.9,0.0,334.0,9.0,1020.3,19283.67,170.1,0.0
2022-01-10,8.0,12.9,0.0,2.0,16.3,1032.8,13323.119999999999,210.27,0.0
2022-01-11,9.0,11.6,0.0,66.0,7.0,1031.2,11961.92,81.2,0.0
2022-01-12,22.0,11.8,0.0,273.0,5.3,1026.1,12107.98,62.54,0.0
2022-01-13,24.0,15.6,0.0,354.0,5.5,1022.1,15944.76,85.8,0.0
2022-01-14,23.0,17.8,0.0,359.0,5.6,1014.1,18050.98,99.67999999999999,0.0
2022-01-15,18.0,14.1,0.0,337.0,18.6,1020.1,14383.41,262.26,0.0
2022-01-16,16.0,11.4,0.0,172.0,6.9,1022.8,11659.92,78.66000000000001,0.0
2022-01-17,17.0,13.8,0.0,55.0,8.2,1018.8,14059.44,113.16,0.0
2022-01-18,26.0,15.8,0.0,155.0,6.2,1014.9,16035.42,97.96000000000001,0.0
2022-01-19,16.0,20.2,0.0,323.0,6.2,1012.7,20456.54,125.24,0.0
2022-01-20,12.0,12.0,0.0,357.0,17.7,1022.9,12274.8,212.39999999999998,0.0
2022-01-21,28.0,5.2,3.6,30.0,12.5,1028.5,5348.2,65.0,3702.6
